Comment,Designator,Footprint,LCSC,Quantity
100kΩ,"R20,R21",R_0805,C149504,2
100nF,"C1,C10,C11,C12,C6,C9",C_0805,C49678,6
10kΩ,"R15,R17,R3,R4,R5,R6,R7,R8,R9",R_0805,C17414,9
10uF,"C14,C15,C16",C_0805,C15850,3
10uF,"C13,C2,C5",C_0805,C440198,3
1kΩ,"R14,R16,R22,R23",R_0805,C17513,4
1uF,"C3,C4",C_0805,C28323,2
2.4kΩ,R19,R_0603,C22940,1
22pF,"C7,C8",C_0805,C1804,2
2N2222,Q3,SOT-23,C6996955,1
470Ω,"R12,R13",R_0805,C17710,2
5.1kΩ,"R10,R11",R_0805,C27834,2
Boot,S1,SW_TS-1088-AR02016,C720477,1
Buzzer,J2,PinSocket_1x03_P2.54mm_Vertical,C146243,1
CH340G,U3,SOIC-16_3.9x9.9mm_P1.27mm,C14267,1
Conn_01x02_Socket,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C131337,1
"Connector, USB-TYPE-C-16P",J1,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
ESP-12F,U1,ESP-12E,C82891,1
Green,D2,D_0805,C2297,1
Red,D3,D_0805,C84256,1
Reset,S2,SW_TS-1088-AR02016,C720477,1
SS14,D1,D_SMA,C2480,1
TP4056,U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C16581,1
White,D4,D_0603,C2290,1
X322512MSB4SI,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9002,1
AP2112K-3.3,U2,SOT-23-5,,1
AO3401A,Q4,SOT-23,,1
SS8050,Q2,SOT-23,,1
SS8050,Q1,SOT-23,,1
BTN,J5,PinSocket_1x03_P2.54mm_Vertical,,1
DHT11,J3,PinSocket_1x03_P2.54mm_Vertical,,1
OLED,J4,PinSocket_1x08_P2.54mm_Vertical,,1
